time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.0000000000000013,0.020279949844,-0.168748016403,14.5369321928,6.22010257328,0.0176580789255,0.0,-0.0389969488437,-0.432484127581,4.42599399463,-0.0898371571113,0.0308438102709,0.0,465.74880439380604,464.88309823179424,467.612670476451,465.8708970976351
2.0200000000000014,0.0194611512934,-0.177536496257,14.625685732,6.21831228446,0.0182802384019,0.0,-0.0428829062187,-0.446363857754,4.44935991728,-0.0862442972155,0.0340944320608,0.0,445.40136199203334,446.19859641067984,446.29842009262524,447.17069664061205
2.0400000000000014,0.0185657876972,-0.186597560786,14.7147686203,6.21670315922,0.01896795634,0.0,-0.0466534533942,-0.459742595173,4.45892891934,-0.101460124487,0.0375089003572,0.0,432.64192496122297,433.50412823385074,435.6833131333701,431.843140999344
2.0600000000000014,0.0175861946458,-0.195955433803,14.8044318983,6.21479116696,0.0197499922712,0.0,-0.0513058517482,-0.476044706554,4.50739887408,-0.116770920264,0.0295266796048,0.0,470.4260663633746,468.56853731893574,471.196644009639,467.6236058899151
2.0800000000000014,0.0165259090633,-0.205594648332,14.8943433205,6.21249629935,0.0203573437403,0.0,-0.0547227065024,-0.487876746303,4.48374334482,-0.107765278782,0.0237270456493,0.0,401.8216545444402,400.24141010822103,399.3292495693104,401.7727095459266
2.1000000000000014,0.0153802365513,-0.215529970116,14.9845652112,6.21037640132,0.0208782392362,0.0,-0.0598445447032,-0.505655432147,4.53844573115,-0.116180449548,0.0333556055553,0.0,473.4479044890509,475.66537699161086,476.8917558141827,474.9499384597669
2.1200000000000014,0.0141314603349,-0.22582394946,15.0758500403,6.20806833111,0.0215592924264,0.0,-0.0650330769324,-0.5237425022,4.59003717654,-0.110605723843,0.0386359614266,0.0,472.8298914885954,474.04919198652,471.8777685160241,473.1559730274988
2.1400000000000015,0.0127794066234,-0.236477787575,15.1680651945,6.20585806785,0.0224374678811,0.0,-0.0701722942197,-0.541641309345,4.63147824409,-0.108681556234,0.0531587866464,0.0,463.1746769797215,466.5895788446063,463.7137699319113,464.15679664225877
2.1600000000000015,0.0113210875653,-0.247499636293,15.2611703985,6.20374959589,0.0236539516007,0.0,-0.0756596115924,-0.560543562429,4.67904215329,-0.120097261665,0.0706692399016,0.0,469.7388504733731,473.797050814561,470.0904054978045,467.41906976859053
2.1800000000000015,0.00975087316072,-0.258901903351,15.3551916194,6.20135943462,0.0250710263253,0.0,-0.0813618288617,-0.579683143414,4.72307994024,-0.124951943178,0.0679526513905,0.0,468.64546386227784,468.0150491165138,467.388480979771,466.2396457130437
2.2000000000000015,0.0080812180125,-0.27063397086,15.4493768697,6.19886262667,0.0264404638696,0.0,-0.0856036859603,-0.593523607418,4.6954450921,-0.127064246313,0.0633953459335,0.0,399.3487642646869,398.103578910608,399.5286735291164,398.9342590818833
2.2200000000000015,0.0063005903023,-0.282722912274,15.5439064467,6.19632254137,0.0277095426627,0.0,-0.0924590850598,-0.615370534022,4.75751260511,-0.125515289742,0.0649262766745,0.0,483.60045368324865,483.9488743860269,483.38439193716647,483.72118803113904
2.2400000000000015,0.00439491439469,-0.295207307905,15.6391250123,6.19381268968,0.0290086645126,0.0,-0.0981085057016,-0.633069029051,4.76434395673,-0.124562297872,0.0638341993978,0.0,434.58928227121896,434.31775711178403,433.4082679861501,433.63375964001176
2.2600000000000016,0.00237484550119,-0.308046946684,15.7344370017,6.19141333376,0.0302964924457,0.0,-0.103898383648,-0.650894848867,4.76685498132,-0.138118849059,0.0685552046124,0.0,429.2753250853348,430.47875485758874,431.7319001431628,428.2715099072094
2.2800000000000016,0.000237878361658,-0.321243431776,15.8297504392,6.1886708426,0.0317049047582,0.0,-0.109798330305,-0.668753660321,4.76448877166,-0.14442532588,0.0771932854541,0.0,424.29273559484244,426.5158273186422,425.949779806841,424.30983037189225
2.3000000000000016,-0.00203174972085,-0.334837879647,15.9253901398,6.18578354661,0.0332579080772,0.0,-0.117164477945,-0.690691126826,4.79948128517,-0.145981297298,0.0729183328453,0.0,460.88067529676823,459.87030177554897,460.9783768252101,460.590642931118
2.3200000000000016,-0.00445371568924,-0.348881864026,16.0217710479,6.18287750979,0.0347618144472,0.0,-0.125032118894,-0.713707311023,4.8386095259,-0.151194573513,0.0824618870103,0.0,464.05324567910844,466.2993612644575,464.86020996684516,463.6139259414849
2.3400000000000016,-0.00701418185422,-0.363328479401,16.1182925785,6.17985381592,0.0364332266262,0.0,-0.131014497605,-0.730954226529,4.81354353427,-0.151823225484,0.0758023917078,0.0,404.2737601706607,402.47558628545016,403.32068091389016,403.12619536087664
2.3600000000000017,-0.00971249712621,-0.378168577954,16.2147303939,6.1768553365,0.0379534977208,0.0,-0.138817029593,-0.753055628735,4.83023800219,-0.143107138457,0.0728961018157,0.0,444.6121928764633,443.90172390700496,443.4435629620865,445.5649617096621
2.3800000000000017,-0.012578306708,-0.393479975843,16.3117157641,6.17399412285,0.0394347390388,0.0,-0.147763928583,-0.778084160139,4.86829902487,-0.141743966201,0.0797253450622,0.0,464.0316354269273,465.64120367645,463.6369118523681,463.9399836002112
2.4000000000000017,-0.0156154154129,-0.409267909306,16.4091811203,6.17115931242,0.0410363191902,0.0,-0.155946941909,-0.800709186143,4.87823659349,-0.141372750627,0.0834865284203,0.0,438.2793830280164,439.22150954597004,438.56623398207114,438.63973712948086
2.4200000000000017,-0.0188083164853,-0.425483722753,16.5065736394,6.16833975246,0.0427418516923,0.0,-0.163343165328,-0.820872158545,4.8610153173,-0.137399075051,0.0750246215749,0.0,413.0503372939972,410.8114213270668,411.82181354966025,412.8548041112779
2.4400000000000017,-0.0221752593248,-0.442169593187,16.6041563252,6.165623437,0.0442423533718,0.0,-0.173351118631,-0.847714884855,4.89725325988,-0.129440929447,0.0751606217375,0.0,462.5864844294013,462.62278731599264,462.98528244960426,464.8435313731573
2.4600000000000017,-0.0257398806407,-0.459382761707,16.7023284863,6.16311248464,0.0457465940136,0.0,-0.183111012953,-0.873601967191,4.91996284942,-0.11696164789,0.0765946419835,0.0,450.351139354858,450.7033725759228,450.5551924565489,453.5573113501425
